"RiverName","Country","Runoff","Precipitation","PopDensity","NConcentration","RiverNO3"
"Adige","Italy",18.3,84.8,102,46,67
"Amazon","SAmerica",24.8,181.1,1,2.1,3
"Caragh","Ireland",45.6,104.9,7.15,2.6,3.6
"Columbia","USA",11.8,99.1,10,2,26.6
"Danube","Rumania",8.1,57.9,90,45,46
"Delaware","USA",19.1,107.4,100,25,61
"Fraser","Canada",16.1,145.8,2,16,6.4
"Ganges","India",14.9,160,300,5.8,91.3
"Glaama","Norway",16.9,68.3,12,45,24
"Huanghe","China",2,32.3,200,28,139
"Hudson","USA",16.1,107.4,150,25,47.8
"Kazan-and-Back","Canada",6.1,27.4,0.4,7,1.1
"Mackenzie","Canada",5.9,33.3,0.15,7,5.7
"Magdalena","Columbia",31.3,106.2,30,2.6,17
"Mekong","SEAsia",19.2,139.2,43,7.6,17
"Mersey","England",17.5,100.3,200,28.9,156
"Meuse","Netherlands",9.1,65,250,36,230
"Mississippi","USA",5,114.8,30,19,63
"Murray-Darling","Australia",0.3,53.6,1.5,4.4,15
"Nelson","Canada",2.2,37.3,2,21,5
"Niger","WAfrica",6.2,181.6,20,9.6,7
"Nile","NEAfrica",0.3,15.7,50,10.2,20
"Orange","SAfrica",0.2,18.1,20,23,50
"Orinoco","Venezuela",33.9,97.3,2,3,6
"Parana","Argentina",5.7,75.8,10,9.9,14.2
"Po","Italy",22,84.8,232,46,102
"Rhine","Europe",11.9,86.6,300,60,286
"Rhone","France",17.7,73.2,100,30,57.2
"Shannon","Ireland",13.5,92.7,35,8.6,54
"Stikine","Canada",22,242.1,1,1,6.1
"StLawrence","Canada",10.4,101.1,15,21,16
"Susquehanna","USA",15.1,103.6,100,25,66
"Tees","England",27.7,58.2,100,33,75
"Thames","England",7.8,58.2,400,61,520
"Tiber","Italy",13.5,84.8,262,46,100
"Uruguay","SAmerica",10.5,86.1,10,13.7,29
"Vistula","Poland",5.5,55.9,120,47,70.5
"Volga","Russia",6.1,36.8,50,13,30
"Yangtze","China",15.4,116.8,200,10,58.2
"Yukon","Canada",7.4,78.5,0.4,7.8,9.3
"Zaire","Zaire",10.4,147.3,11.7,10,6
"Zambezi","SEAfrica",2.5,51.8,15,8.4,9.3
